Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-05-24,3169.0185546875,3182.3052005086197,3142.7806554691683,3142.7806554691683,1016555
2023-05-25,3159.569091796875,3171.5607765235977,3134.242747339074,3160.0487591859437,1374917
2023-05-26,3193.529541015625,3202.8830553712173,3157.170845564567,3159.5691825788217,1791115
2023-05-29,3185.3271484375,3234.8766933080315,3177.3166097972125,3224.132191228528,1210372
2023-05-30,3181.34619140625,3191.6590410718836,3167.1002093724524,3180.1950364256313,1344224
2023-05-31,3155.73193359375,3192.378477376941,3132.372036721899,3174.43896283986,5815424
2023-06-01,3188.82861328125,3204.17796882051,3163.406243169351,3179.2352660692127,1177314
2023-06-02,3171.177001953125,3200.2446571292,3163.35828331498,3190.987170597393,2030661
2023-06-05,3155.15625,3191.7070009547683,3151.4629514071326,3180.1949829170594,1861468
2023-06-06,3100.85791015625,3155.10833975111,3089.6337398775954,3146.61813311544,2022849
2023-06-07,3141.725341796875,3145.5149015050806,3109.2039868078027,3120.7160040375757,1567196
2023-06-08,3104.838623046875,3137.024347831203,3101.5289653022264,3128.3903358646953,1759366
2023-06-09,3078.79296875,3117.8378450750397,3075.0036434423478,3113.041171467232,1775689
2023-06-12,3114.863525390625,3122.0585351362492,3080.4235057599262,3084.260844290926,2324605
2023-06-13,3111.793701171875,3132.2275756904064,3107.2848752408045,3127.4309025270218,1371928
2023-06-14,3118.84521484375,3123.4500683814585,3094.670026536505,3111.7940109067044,1658544
2023-06-15,3108.455810546875,3138.5612402233373,3102.367005681281,3136.483425239946,2273810
2023-06-16,3068.443359375,3092.121857789766,3050.177183551093,3089.802425796212,4156189
2023-06-19,3102.753173828125,3107.102285996996,3068.540252481445,3083.0372930443496,1468186
2023-06-20,3119.473388671875,3124.1124892110142,3093.717072276403,3106.232804431307,1528452
2023-06-21,3148.95068359375,3152.0433386122113,3115.849105259279,3141.025681373176,1645987
2023-06-22,3129.9111328125,3158.083621268915,3121.7928842837855,3150.69022478578,1529603
2023-06-23,3108.50390625,3140.4455307164276,3101.545137902307,3128.751392710188,1119505
2023-06-26,3082.69873046875,3106.135611161812,3066.6071108901274,3097.5341287118995,1978803
2023-06-27,3090.14111328125,3102.0284984562527,3075.595701230574,3094.635101729902,863542
2023-06-28,3107.634033203125,3122.6143091352988,3086.32333541195,3100.4338832524213,1575872
2023-06-30,3191.52392578125,3199.014064451794,3106.329733220009,3112.0318089228936,2672406
2023-07-03,3162.577880859375,3207.518708187427,3159.1468672810756,3203.1695958653577,1687264
2023-07-04,3197.90234375,3203.846036132088,3167.410187225788,3179.684301319629,1656681
2023-07-05,3208.6298828125,3217.3764776521552,3194.1812131692323,3208.678253471059,1453008
2023-07-06,3211.481201171875,3216.8451537437045,3191.2820842993083,3195.679567433131,1848238
2023-07-07,3217.618408203125,3244.3411940456626,3191.282115757819,3191.282115757819,1789326
2023-07-10,3162.239501953125,3213.2691333964635,3155.7158335117606,3213.2691333964635,1407431
2023-07-11,3162.67431640625,3184.516618856663,3151.4634131295247,3184.516618856663,1110172
2023-07-12,3150.59375,3178.8629821691366,3141.1225379000643,3170.937979657912,1515240
2023-07-13,3228.539794921875,3254.537730569262,3163.0131144232437,3173.8858964986425,4585146
2023-07-14,3396.8017578125,3406.659934965344,3239.605596163269,3252.169699012351,6306101
